Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MACHNGUYENLI.PrjPcb|ReportField=ProjectFullPath~D:\BTLVXL\MACHNGUYENLI\MACHNGUYENLI.PrjPcb|ReportField=Title~Bill of Materials For Project [MACHNGUYENLI.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~34|ReportField=ReportTime~12:02:09 AM|ReportField=ReportDate~19-Apr-17|ReportField=ReportDateTime~19-Apr-17 12:02:09 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~19-Apr-17|ReportField=CurrentTime~12:02:04 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\BTLVXL\MACHNGUYENLI\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~18-Apr-17|ReportField=Organization~|ReportField=ProjectName~MACHNGUYENLI.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MACHNGUYENLI.PrjPcb|ReportField=DataSourceFullPath~D:\BTLVXL\MACHNGUYENLI\MACHNGUYENLI.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap Pol3|Polarized Capacitor (Surface Mount)|C1, C20|CP2/5|Cap Pol3_2|2
2|104|Capacitor (Semiconductor SIM Model)|C2, C21|CNP|Cap Semi_2|2
3|33pF|Capacitor (Semiconductor SIM Model)|C3, C4|CNP|Cap Semi_2|2
4|Header 2x1|2.54mm|CN1|Header 2x1 straight|Header 2x1|1
5|1N4007|Diode 1A|D1, D2, D3, D4|D1A|D1A|4
6|74HC595|8 Bit Serial input - Parallel Output|IC1, IC2, IC3|DIP16|74595|3
7|JP6 PIN|JP6 PIN|JP1|JP6|JP6|1
8|LED|LED Single colour Green and Red|LED1, LED2, LED3, LED4, LED5|LED-3|LED|5
9|Matrix 8x8S|Matrix 8x8,  Single colour|MT1, MT2|Matrix|LED 8x8S|2
10|Res1|Resistor|R1, R2, R3, R4, R5, R46|R1/4W|Res1_4|6
11|SW6A|SW-DTDP - 6 Pin|SW1|SW6|SW6A|1
12|SW|Switch button 2 pin|SW2|SW2|SW2|1
13|LM7805|TO-220|U1|TO-220|LM7805|1
14|LM35|Teminal|U2|TO92-123|LM35|1
15|PIC16F887-PU|Flash-Based, 8-Bit CMOS Microcontroller with nanoWatt Technology, 8K (x14-Bit words) Program Memory, 624 Bytes Data Memory, 35 I/O pins, 40-Pin PDIP, Standard VDD Range, Extended Temperature|U3|DIP40/W0.6|PIC16F887-PU|1
16|4Mhz|Crystal For all Crystal 2pin.|X1|XT2|XT2|1
